,Query,Strong_Target,Strong_Compound_Target,Weak_Target,Weak_Compound_Target,Default_Target,Category
0,Where can I have lunch along the rivers,-,-,lunch,-,-,PLACE
1,Greenest neighborhoods in the city,neighborhoods,Greenest neighborhoods,-,-, neighborhoods,AREA
2,Best deep-dish pizza places in downtown Chicago,-,-,-,-, pizza places,PLACE
3,apple store next to zurich hb,store,apple store,-,-, apple store hb,PLACE
4,movie theaters with reclining seats,theaters,movie theaters,-,-, movie theaters reclining seats,PLACE
5,Route avoiding major streets and uncontrolled left turns,-,-,-,-, Route avoiding streets left turns,ROUTE
6,Is this neighborhood safe,-,-,-,-, neighborhood,NONE
7,is crime common in this area?,-,-,-,-, crime,NONE
8,Quiet restaurants nearby me,restaurants,-,-,-, restaurants,PLACE
9,Nearby stores that sell stuffed animals,stores,-,-,-, stores animals,PLACE
10,Where does the parade start?,-,-,-,-,parade,EVENT
11,Unusual or unique shops in the area,shops,-,-,-, shops,PLACE
12,Hotels within a twenty minute walk of downtown Amsterdam,-,-,-,-, Hotels minute walk,PLACE
13,Pedestrian route along only well-lit streets,route,-,-,-, route streets,ROUTE
14,bicycle route only along streets with marked bike lanes,route,bicycle route,-,-, bicycle route streets bike lanes,ROUTE
15,Local (non-chain) restaurants open now,-,-,-,-, restaurants,PLACE
16,Coffeshops with nearby bike parking,Coffeshops,-,-,-, Coffeshops bike parking,PLACE
17,Greenest neighborhoods in the city,neighborhoods,Greenest neighborhoods,-,-, neighborhoods,AREA
18,"Is it faster to get to Wicker Park via bus, L, bike, or Uber?",-,-,-,-, Park L bike,NONE
19,Neighborhoods with affordable rentals in Washington D.C.,Neighborhoods,-,-,-, Neighborhoods rentals,AREA
20,Who's monument is this?,-,-,-,-, monument,NONE
21,shortest path to go Bahnhof Enge by 12,path,-,-,-, path Enge,ROUTE
22,"Restaurants which have good reviews, are open now and where I can park my car",-,-,car,-, Restaurants reviews,PLACE
23,Restaurants near Theater 11,Restaurants,-,-,-, Restaurants 11,PLACE
24,Cheapest parking near Hauptbahnhof,parking,-,-,-, parking,PLACE
24,Cheapest parking near Hauptbahnhof,parking,-,-,-, parking,PLACE
