query,top_intent
Which of my friends made it to the blues festival last weekend?,UNSUPPORTED
Where can I get some authentic pork buns,UNSUPPORTED
Where can view new movie trailers?,UNSUPPORTED
When is Laura Marie going to be at Candlelight again,UNSUPPORTED
Are there nearby hair salons with available appointments for this weekend,UNSUPPORTED
"Where is the sign that reads """"We Love Tacos"""" in San Antonio",UNSUPPORTED
I feel like hiking tomorrowWhere can I go,UNSUPPORTED
"Laundromats in Taylors, SC open on Sundays",UNSUPPORTED
where is a running amusement park on 7th st for today,UNSUPPORTED
Where is the best place to take my father fishing in Montana?,UNSUPPORTED
What event are my friends interested in tomorrow?,UNSUPPORTED
how far away is moon to earth,UNSUPPORTED
Laptop places nearby,UNSUPPORTED
open Waze navigation,UNSUPPORTED
What stores are at Times Square,UNSUPPORTED
is there a art gallery opening that my sister is going to,UNSUPPORTED
Can I get tickets for An American in Paris at the Community Center Theater for May,UNSUPPORTED
Price of gas locally,UNSUPPORTED
Search coworkers for a chili recipe for football game days.,UNSUPPORTED
How many times have I scheduled coffee dates with Lydia?,UNSUPPORTED
What type of weather will my sister be having at the end of the month?,UNSUPPORTED
Mexican restaurants open late,UNSUPPORTED
where can I go hiking,UNSUPPORTED
Dancing club within 10 miles to go to tonight,UNSUPPORTED
Japanese fast food restaurants serving sushi on Sundays near me,UNSUPPORTED
what is new,UNSUPPORTED
top golf Detroit,UNSUPPORTED
Family restaurants near Chicago Water tower,UNSUPPORTED
How far does the Great Wall of China go,UNSUPPORTED
What is the closest nightclub that has dancing,UNSUPPORTED
Where in the world do they celebrate New Year's Eve first,UNSUPPORTED
Grocery stores in area,UNSUPPORTED
Bar deals near me today,UNSUPPORTED
Where can I bike for 10 miles in Los Angles right now,UNSUPPORTED
Is there a restaurant atop the Freedom Tower in Lower Manhattan and how do I make reservations for Saturday night,UNSUPPORTED
Macy's store hours,UNSUPPORTED
Who amongst my old friends still plays,UNSUPPORTED
What roads are closing for President Trump's speech in Pensacola today,UNSUPPORTED
How far away is the nutcracker parade,UNSUPPORTED
Any new auditions posted in the actors group?,UNSUPPORTED
Who is going on the High Adventure scout trip with my son?,UNSUPPORTED
"Ruth Chris Steakhouse in Jacksonville, Florida",UNSUPPORTED
Which of my friends have been to Disney World?,UNSUPPORTED
What time does McDonald's close,UNSUPPORTED
Sport equipment rental in Orlando,UNSUPPORTED
What are the best resturants near me,UNSUPPORTED
Coffee houses in Minneapolis,UNSUPPORTED
"Pet friendly and kid friendly parks in Sacramento, CA",UNSUPPORTED
Closing time for stores in the strip mall near me,UNSUPPORTED
whats the menu at the rio in las vegas on the weekend,UNSUPPORTED
Is Yosemite open for the season and can I camp there?,UNSUPPORTED
Disney Christmas,UNSUPPORTED
Did any of my friends from Indiana University upload any statuses about catching the flu?,UNSUPPORTED
What are the hours of Disney Springs,UNSUPPORTED
Find me a great wing bar in Austin,UNSUPPORTED
family friendly restaurants,UNSUPPORTED
is any place to eat open now,UNSUPPORTED
Whats a good place to have fun,UNSUPPORTED
Where can I get holiday wear for a holiday party,UNSUPPORTED
Has Liz communicated recently with anyone in our family?,UNSUPPORTED
Area malls that have Santa pictures,UNSUPPORTED
hip downtown clubs in new york,UNSUPPORTED
Can I sign up for flag football?,UNSUPPORTED
the best restaurant near me,UNSUPPORTED
wine bars in Chicago,UNSUPPORTED
What are the latest opened bars in downtown Reno,UNSUPPORTED
best days to visit farms in Homestead,UNSUPPORTED
whats up,UNSUPPORTED
Where does my college rate among all colleges in the united states?,UNSUPPORTED
My brother goes to the skating rink on Boulevard 53 in Jackson Alabama is that place open two children under 16 or is it 18 and older only,UNSUPPORTED
What is most popular night club in Chicago,UNSUPPORTED
"Restrooms open to the public in Spartanburg, SC 24 hours",UNSUPPORTED
Are there any Board and brush places in Florida,UNSUPPORTED
What is the oldest building in this town and is it a historical landmark?,UNSUPPORTED
Is there a Silver Alert,UNSUPPORTED
Is there uber service in this town,UNSUPPORTED
Local child friendly restaurants in Los Angeles open at 7 am,UNSUPPORTED
Roller skating rinks near Olean NY this weekend,UNSUPPORTED
Have any of my friends eaten at the new mexican restaurant in Athens?,UNSUPPORTED
How many movie theaters are there in Cedartown?,UNSUPPORTED
Do not wake me up this weekend,UNSUPPORTED
