Query,Category
what is the largest city in smallest state through which the mississippi runs,AREA
How many people can attend the concert in the park next weekend before capacity is full,NONE
"35.415544, 127.87349",GEOLOCATION
University of North Carolina at Chapel Hill,PLACE
Events in St Augustine this weekend,EVENT
any big events at local bars in Salem happening next week,EVENT
"1255 Raritan Road, Clark",ADDRESS
"-122.7943915,45.4802977",GEOLOCATION
what cities are located in pennsylvania,AREA
I want to watch home alone,NONE
Things going on in Ft Worth this weekend,EVENT
Directions to the die antword concert in Portland Oregon,PLACE
"51.2702, 4.76317",GEOLOCATION
"-122.7993779,45.4465469",GEOLOCATION
Furniture store for low cost,PLACE
Best hotel in Maui,PLACE
Any sporting events happening near me on Sunday,EVENT
 coffe shops,PLACE
Where is McDonald's from James's house?,PLACE
Can you tell me the directions to Catas from RBA?,ROUTE
what are popular restaurants in Newport please,PLACE
"3164 Berlin Turnpike, Newington CT 6111",ADDRESS
Why we can not go outside,NONE
Family themed restaurants with Thanksgiving reservations,PLACE
directions to dad's house,ROUTE
Directions home,ROUTE
Can you tell me how to get to LaSallate Shrine from Myrtle Street in Rockland,ROUTE
what is the largest city in alabama,AREA
Any good wine bars in Amsterdam for tomorrow night,PLACE
when is the next soccer match among my friends kids,NONE
directions to houston avoiding flooded streets from Mckinney,ROUTE
"7100 Aaron Aronov Drive, Fairfield AL 35064",ADDRESS
Mexican restaurants to eat in Los Angeles tonight,PLACE
Where can I go sing Karaoke,PLACE
"6265 Brockport Spencerport Rd, Brockport NY 14420",ADDRESS
"37.456852, 126.895229",GEOLOCATION
When is my high school  reunion?,NONE
what is new,NONE
Mexican restaurants nearby,PLACE
"C/O Clark Commons, Clark",ADDRESS
Is it true that he became a professor in 1820?,NONE
 friends month,NONE
viewings event for local food,EVENT
"2400 Route 9, Fishkill NY 12524",ADDRESS
Arizona Science Center,PLACE
what is the highest point in the state with the most rivers,AREA
Gift wrapping service near me,PLACE
How old is my house on Holbrook Street,NONE
best route to avoid Traffic please,ROUTE
"25737 US Rt 11, Evans Mills NY 13637",ADDRESS
fancy restaurants in Olean NY,PLACE
best way to reach work today,ROUTE
what states border states that the mississippi runs through,AREA
Closest mini golf course,PLACE
Lithuanian food restaurants in battle ground,PLACE
"37.668952, 127.047082",GEOLOCATION
Kreis 7 in Zurich,AREA
Any live music next Tuesday,EVENT
 sporting event week please,EVENT
mobile phone stores in city,PLACE
Who appointed Harlan Fiske Stone to the Supreme Court?,NONE
Next flight to Paris,PLACE
where are some sports bars in tampa,PLACE
Brunch restaurants locations  in Cambridge for Sunday afternoon,PLACE
"Abbey Road Studios, London",PLACE
Mexican restaurants open late,PLACE
Charity events happening in Atlanta this week,EVENT
Starbucks near me open late,PLACE
Daytime nightclubs near me,PLACE
 golf,NONE
Can you tell me about events this weekend,EVENT
Meetups for IT,EVENT
Any live bands playing tonight,EVENT
"Hotels with complimentary concierges in Greenville, SC",PLACE
the best places to watch a night sky of O.C,PLACE
Catalina island diving area,AREA
Can you tell me how to get to Gaylord palms by Disney Springs and the fastest route to get there,ROUTE
family friendly restaurants,PLACE
Where in the world do they celebrate New Year's Eve first,NONE
"-122.8076262,45.4810182",GEOLOCATION
What is the best route home based on traffic,ROUTE
what is capital of the state with the lowest point,AREA
fun stuff in local market,EVENT
country in California,AREA
Any christmas festivals in hardy next week,EVENT
what are the major cities of texas,AREA
Breakfast restaurant,PLACE
"""41.9666889,-87.8387753""",GEOLOCATION
Any fun events in Seattle this weekend,EVENT
Where did Linda vacation with her family last year?,NONE
Do they prefer forested areas?,NONE
Any fun events to go to this weekend,EVENT
Hottingen district,AREA
can you tell me the directions from Universal Florida to Disney World,ROUTE
Music stores in San Leandro,PLACE
What time does the Big Bang Theory start?,NONE
Any comedy shows happening this weekend,EVENT
what rivers are in utah,PLACE
what states border ohio,AREA
"625 School Street, Putnam CT 6260",ADDRESS
Directions to Disneyland,ROUTE
Calls for this afternoon,PLACE
what are the states through which the longest river runs,AREA
Where is the nearest lake,PLACE
Can you tell me the directions from the Maryland Zoo to DC please?,ROUTE
Best route to Penfield not taking i90 from Syracuse,ROUTE
Have any of my friends been to Israel?,PLACE
"""41.9085327,-87.8351271""",GEOLOCATION
Anything cool happening this weekend,EVENT
"35.520541, 127.725177",GEOLOCATION
get me driving directions to BB&T center in Sunrise,ROUTE
Any holiday events downtown tonight,EVENT
Family friendly bars near me,PLACE
driving directions from the Florida Mall to the Millennial Mall with no tolls,ROUTE
dogs friendly place,PLACE
Hayden Planetarium,PLACE
Best winery to visit in ridgefield,PLACE
Art and Culture Center of Hollywood,PLACE
dog bars in charlotte NC,PLACE
Where is the nearest auto repair shop to David's house?,PLACE
"655 Boston Post Rd, Old Saybrook CT 6475",ADDRESS
any concerts on long island tomorrow,EVENT
Where is the nearest auto repair shop to David's house?,PLACE
what is the area of wisconsin,AREA
pick your own Christmas tree near Park Ridge IL,NONE
Have a summer home in Los Angeles California,PLACE
Vatican City,AREA
