token_idx	token	head_idx	rel_tag
0	Ivar	0	ROOT
1	's	0	compound
2	near	0	-
3	Seattle	4	modification
4	waterfront	0	proximity
			
0	snacks	0	ROOT
1	near	0	-
2	Seattle	3	modification
3	waterfront	0	proximity
			
0	great	2	quality
1	rooftop	2	feature
2	bars	2	ROOT
3	with	2	-
4	views	2	feature
5	in	4	-
6	Manhattan	2	containment
			
0	breakfast	1	cuisine
1	cafes	1	ROOT
2	with	1	-
3	water	4	modification
4	view	1	feature
5	along	4	-
6	Vancouver	7	modification
7	waterfront	1	proximity
			
0	breakfast	1	cuisine
1	cafes	1	ROOT
2	along	1	-
3	Boston	4	modification
4	boardwalk	1	proximity
5	with	4	-
6	water	7	modification
7	view	1	feature
			
0	traditional	1	feature
1	cafes	1	ROOT
2	near	1	-
3	Louvre	1	proximity
4	that	1	-
5	are	4	-
6	open	1	availability
7	early	6	modification
			
0	seafood	1	cuisine
1	restaurants	1	ROOT
2	with	1	-
3	best	5	quality
4	water	5	modification
5	view	1	feature
6	in	5	-
7	Miami	1	containment
			
0	Pike	1	compound
1	Place	2	compound
2	Market	2	ROOT
			
0	restaurants	0	ROOT
1	inside	0	-
2	Empire	3	compound
3	State	4	compound
4	Building	0	containment
			
0	where	0	-
1	is	0	-
2	the	6	-
3	new	6	modification
4	star	5	compound
5	wars	6	modification
6	movie	7	ROOT
7	playing	1	-
8	tonight	0	timing
9	?	0	-
			
0	cafes	0	ROOT
1	between	0	-
2	the	3	-
3	Louvre	0	proximity
4	and	3	-
5	the	7	-
6	Eiffel	7	compound
7	Tower	0	proximity
			
0	find	1	-
1	museum	1	ROOT
2	with	1	-
3	the	2	-
4	largest	5	modification
5	collections	1	feature
6	of	5	-
7	baroque	8	modification
8	paintings	5	feature
			
0	find	2	-
1	cheapest	2	pricing
2	parking	2	ROOT
3	in	2	-
4	Berlin	2	containment
5	this	4	-
6	afternoon	2	timing
			
0	what	0	ROOT
1	should	0	-
2	i	1	-
3	not	4	negation
4	miss	2	-
5	in	4	-
6	Amsterdam	0	containment
7	this	8	-
8	weekend	0	timing
9	?	0	-
			
0	where	0	ROOT
1	can	0	-
2	i	1	-
3	go	2	-
4	next	3	-
5	after	3	-
6	the	7	-
7	Rijksmuseum	0	proximity
8	?	0	-
			
0	plan	2	-
1	my	2	-
2	evening	2	ROOT
3	in	2	-
4	CITY	2	containment
			
0	recommend	2	quality
1	hiking	2	compound
2	trail	2	ROOT
3	by	2	-
4	difficulty	2	feature
			
0	what	0	ROOT
1	is	0	-
2	visible	0	feature
3	from	2	-
4	my	5	modification
5	location	0	proximity
			
