query,top_intent
Take me to Raleigh from Omaha,GET_DIRECTIONS
How do I go to Borough Market from my hotel?,GET_DIRECTIONS
How to get to John's house from home?,GET_DIRECTIONS
nearest point of interest to reach now through car,GET_DIRECTIONS
Show me the quickest way to work,GET_DIRECTIONS
Send me driving directions via the 405 to San Diego.,GET_DIRECTIONS
I want to drive to Kennedy Space Center this weekend.  What is the fastest route to go,GET_DIRECTIONS
best route to work,GET_DIRECTIONS
"Need directions from home to the airport without traffic, arriving at 4pm",GET_DIRECTIONS
Can I take a detour at exit 30 and then take Allen road to get to Varun's house.,GET_DIRECTIONS
Is there a train from here to Portland?,GET_DIRECTIONS
show me the best route to get to Grants Pass the fastest,GET_DIRECTIONS
which way should I take to reach the down town this morning,GET_DIRECTIONS
What will be the best route to follow,GET_DIRECTIONS
What is the best route to get to the shore traffic-wise,GET_DIRECTIONS
Directions from my house to the nearest gas station,GET_DIRECTIONS
Which way to the airport has the least traffic,GET_DIRECTIONS
Provide the best directions from home to Maple Grove MN using major roadways.,GET_DIRECTIONS
I need to get to Morgan Hill fast,GET_DIRECTIONS
What is the shortest distance to get home,GET_DIRECTIONS
What rout should I use going to Ohio from Pennsylvania,GET_DIRECTIONS
Give me the best route to el Masria Language school now.,GET_DIRECTIONS
Can you get me a route to the history museum that doesn't require tolls?,GET_DIRECTIONS
directions from mcallen to galvestion,GET_DIRECTIONS
What is the fastest route to New York from Wyoming,GET_DIRECTIONS
fastest route to airport,GET_DIRECTIONS
Get directions from 182 Webster Street Rockland to the Hanover Mall,GET_DIRECTIONS
What detour can I take to get to Main street from home,GET_DIRECTIONS
Are there any faster route from Cajueiros Street to Cravos street?,GET_DIRECTIONS
What route should I take to get to the circus?,GET_DIRECTIONS
Is there a train that goes from Miami to Jacksonville?,GET_DIRECTIONS
Get directions to downtown Covington without passing construction,GET_DIRECTIONS
Directions to the United Center with no tolls,GET_DIRECTIONS
route for Dallas to San Antonio,GET_DIRECTIONS
route me from here to the library,GET_DIRECTIONS
Can I go from lorain to vermillion without meeting construction?,GET_DIRECTIONS
Directions to drive from home to Atlanta,GET_DIRECTIONS
What route home has the least traffic,GET_DIRECTIONS
get me to boston using 295,GET_DIRECTIONS
directions back to the office,GET_DIRECTIONS
How do I get to my house from Rochester avoiding highways?,GET_DIRECTIONS
How can I get to work while avoiding the most people,GET_DIRECTIONS
Can you tell me the route with the least traffic delays between here and Shoppingtown mall if I leave right now?,GET_DIRECTIONS
Directions to my office,GET_DIRECTIONS
Quickest route through traffic home,GET_DIRECTIONS
What is the fastest way to get to the main post office in White River Junction?,GET_DIRECTIONS
Show me the fastest route home,GET_DIRECTIONS
What is the best route to avoid the traffic,GET_DIRECTIONS
Which route has the least traffic to Riverbend Hospital,GET_DIRECTIONS
best route to take to wildwood that avoids bridges,GET_DIRECTIONS
How can I avoid traffic tonight,GET_DIRECTIONS
What's the fastest route home,GET_DIRECTIONS
Give me driving directions to the Kroger in McDonough,GET_DIRECTIONS
How can I get from the Amelia Tavern to my brothers house while avoiding toll roads ?,GET_DIRECTIONS
Get me some directions so that I can arrive in Marietta by 4 if I leave from Canton,GET_DIRECTIONS
Get directions to the airport via Valkenburgh drive,GET_DIRECTIONS
Is there a faster route to the zoo if I avoid 2nd street?,GET_DIRECTIONS
