query,top_intent
Comedy Events near me for this Saturday,GET_EVENT
Fun things to do near me,GET_EVENT
What events are there in Hollywood tomorrow,GET_EVENT
Are there any Christmas concerts this Sunday,GET_EVENT
How long until the next art festival near me,GET_EVENT
Chowder festivals on the east coast,GET_EVENT
christmas sweater contests in hilo this month,GET_EVENT
Cosplay events in San Diego for 2018,GET_EVENT
Find Christmas events in Melbourne for this weekend,GET_EVENT
Tour dates for  Tony Robbins,GET_EVENT
Any music concerts next Friday,GET_EVENT
free concert in Disney tonight,GET_EVENT
when is the next craft show in santa clarita,GET_EVENT
Jimmy Buffet concerts in Hawaii next year,GET_EVENT
I'm looking for a magic the gathering meet up,GET_EVENT
Any thing fun happening this weekend,GET_EVENT
Is there a Taylor Swift concert near me,GET_EVENT
any art shows this month,GET_EVENT
What is happening tomorrow night after 8:00p,GET_EVENT
Kesha shows next month,GET_EVENT
Kid Friendly events in Rogers this weekend,GET_EVENT
Are there any cool New Year's Eve parties around this year,GET_EVENT
Kendall area strawberry picking events,GET_EVENT
If I wanted to go and hear rock music where can I go,GET_EVENT
what's  going on in April in New York,GET_EVENT
Anything cool going on in Woodstock this month,GET_EVENT
Events in Austin,GET_EVENT
concerts today,GET_EVENT
Publicity concerts for Beyonce this evening,GET_EVENT
are there any fairs this weekend in the tampa area,GET_EVENT
What family events are happening this weekend,GET_EVENT
What's going on in Southlake tonight,GET_EVENT
Adventurous things happening in New York City,GET_EVENT
Tree lighting events in Mays Landing next week,GET_EVENT
breakfast before 8am in Dayton,GET_EVENT
Music event in San Antonio next week,GET_EVENT
Hip hop concerts happening this month,GET_EVENT
fireworks midnight at space needle tomorrow,GET_EVENT
Any park festivals happening next weekend,GET_EVENT
football games tonight,GET_EVENT
when's the next surfing event in Long Beach,GET_EVENT
events for singles,GET_EVENT
What's going on tonight,GET_EVENT
fall festivals,GET_EVENT
When is the next time Usher is going to perform in California,GET_EVENT
mardi gras parades in mississippi,GET_EVENT
what kind of music is at Montanos this Saturday,GET_EVENT
Big Band concerts in New Jersey this weekend,GET_EVENT
"the next smashing pumpkins concert in sacramento,",GET_EVENT
is anything fun going on this weekend,GET_EVENT
Where can I go for a date this Friday,GET_EVENT
Holiday events in December,GET_EVENT
Any celebrations in downtown Savannah this week end,GET_EVENT
is there a music concert in my neighborhood tonight,GET_EVENT
Cheap events,GET_EVENT
events next month in Los Angeles,GET_EVENT
What times will Santa be at the University Park mall,GET_EVENT
What's happening at Madison Square Garden tonight,GET_EVENT
New years eve parties,GET_EVENT
Dance events in Rowlett,GET_EVENT
Things to do in Cincinnati this weekend,GET_EVENT
Pumpkin carving parties in Uriah for this weekend,GET_EVENT
Formal events tonight,GET_EVENT
Punk concerts in Kansas City,GET_EVENT
what events are happening in tempe this weekend,GET_EVENT
List music concerts downtown Detroit,GET_EVENT
Are there any Gaming Tournaments near me,GET_EVENT
ice skating near me tonight,GET_EVENT
"Craft shows in San Antonio, Texas this weekend",GET_EVENT
What ethnic events are near me in the next 6 months,GET_EVENT
Concerts in Ames IA next week,GET_EVENT
Things to do in LA tonight,GET_EVENT
school events,GET_EVENT
tours of popular pop singers,GET_EVENT
know of any fun events,GET_EVENT
What's happening in Naperville on Friday,GET_EVENT
what is there to do in April in New York City,GET_EVENT
Show holiday festivals in Sunnyvale this weekend,GET_EVENT
things to do in NOLA this weekend,GET_EVENT
Who's on tour near me,GET_EVENT
When is the rock and geology exhibit,GET_EVENT
any halloween parties in eastland county,GET_EVENT
