Query,Category
"Zweibrückenstraße 12, 80331 Munich ",ADDRESS
event for year end parties,EVENT
"World Trade Center Amsterdam, I-Tower, ground floor (entrance via Zuidplein), Strawinskylaan 1767",ADDRESS
wineries within 100 miles,PLACE
Wine tours in California this weekend,EVENT
wine tastings this weekend,EVENT
Wine tastings place,EVENT
Wine tasting parties,EVENT
wine and cheese tasting this month,EVENT
Will there be a white Christmas,NONE
Why we can not go outside,NONE
Who went to Susan's birthday party last week?,NONE
Who made an event to climb in Squamish this summer?,NONE
Who is voted the best winery in Washington,NONE
Who is going on the High Adventure scout trip with my son?,NONE
Who is at the Cox Convention Center on the 6th of April,EVENT
Who has gone to my favorite restaurant,NONE
Who else of my friends is interested in going to the event?,NONE
Who amongst my old friends still plays,NONE
Which of my friends have been to Disney World?,NONE
which is the best route to take to get to Kakaako for the Eat the street event tonight,ROUTE
Where people go to meet each other in New York,NONE
"Where is the sign that reads """"We Love Tacos"""" in San Antonio",NONE
Where is the nearest lake,PLACE
Where is the nearest dentist here in San Antonio that is open till 10pm on a Saturday,PLACE
Where is the nearest CVS?,PLACE
Where is the nearest beach,PLACE
Where is the nearest auto repair shop to David's house?,PLACE
Where is the Nashville Christmas concert,EVENT
Where is the Kogi Food Truck right now,NONE
Where is Handels Messiah playing next week,EVENT
where do they have the fair and rodeo in waco texas and when is it,EVENT
Where did Linda vacation with her family last year?,NONE
Where did I store all my photos of my second trip to London,NONE
Where can we see the Easter Bunny,EVENT
Where can I go sing Karaoke,PLACE
where can I go hiking,PLACE
where can I go golfing,EVENT
Where can I get turtle food?,PLACE
Where can I get some authentic pork buns,PLACE
Where can I get holiday wear for a holiday party,PLACE
Where can I get a live Christmas tree,PLACE
Where can I get a good drink,PLACE
Where can i find a nike and and adidas store within a mall,PLACE
Where can i find a nike and and adidas store in mitte,PLACE
Where can i find a nike and and adidas store close to each other,PLACE
Where can i find a nike and and adidas store along my route,PLACE
Where are the local wine tasting in Macomb,EVENT
Where are the best places to get tapas in town,PLACE
Where are the best hiking areas nearby,AREA
When the virus spreading will stop,NONE
When is Zoolights,EVENT
When is my sister's graduation?,NONE
When is Laura Marie going to be at Candlelight again,NONE
When does the ice skating rink open in Temecula for the holidays,NONE
When does Game of throwns return?,NONE
